,Date,Team,Acquired,Relinquished,Notes
40922,2019-03-02,Mavericks,Trey Burke,,activated from IL
40923,2019-03-02,Pacers,Tyreke Evans,,returned to lineup
40924,2019-03-02,Pelicans,,Anthony Davis,placed on IL
40925,2019-03-02,Pistons,,Jon Leuer,placed on IL
40926,2019-03-02,Pistons,Svi Mykhailiuk,,activated from IL
40927,2019-03-02,Warriors,,Kevon Looney,pelvic injury (DTD)
40928,2019-03-02,Warriors,,Klay Thompson,sore right knee (DTD)
40929,2019-03-02,Warriors,Andre Iguodala,,activated from IL
40930,2019-03-02,Warriors,Kevin Durant,,activated from IL
40931,2019-03-03,Blazers,,Gary Trent Jr.,placed on IL
40932,2019-03-03,Cavaliers,,Ante Zizic,placed on IL with concussion
40933,2019-03-03,Celtics,,Guerschon Yabusele,placed on IL
40934,2019-03-03,Celtics,Aron Baynes,,activated from IL
40935,2019-03-03,Grizzlies,,Mike Conley Jr.,general soreness (DTD)
40936,2019-03-03,Hawks,,Omari Spellman,placed on IL with sprained left ankle (out for season)
40937,2019-03-03,Hawks,Alex Poythress,,activated from IL
40938,2019-03-03,Pistons,,Svi Mykhailiuk,placed on IL
40939,2019-03-03,Pistons,Jon Leuer,,activated from IL
40940,2019-03-03,Rockets,Eric Gordon,,returned to lineup
40941,2019-03-04,Bucks,Malcolm Brogdon,,activated from IL
40942,2019-03-04,Heat,,Goran Dragic,placed on IL with strained left calf
40943,2019-03-04,Heat,Hassan Whiteside,,activated from IL
40944,2019-03-04,Lakers,,Brandon Ingram,sore right shoulder (out for season)
40945,2019-03-04,Lakers,,Tyson Chandler,placed on IL with stiff neck
40946,2019-03-04,Nets,,Treveon Graham,placed on IL with sore back
40947,2019-03-04,Pelicans,,Jahlil Okafor,placed on IL with sprained left ankle
40948,2019-03-04,Pelicans,Anthony Davis,,activated from IL
40949,2019-03-04,Bucks,Eric Bledsoe,,returned to lineup
40950,2019-03-04,Mavericks,,Kostas Antetokounmpo,hip flexor injury (DTD)
40951,2019-03-05,76ers,,Jonah Bolden,illness (DTD)
40952,2019-03-05,76ers,Amir Johnson,,returned to lineup
40953,2019-03-05,Blazers,Evan Turner,,activated from IL
40954,2019-03-05,Celtics,Guerschon Yabusele,,activated from IL
40955,2019-03-05,Grizzlies,Mike Conley Jr.,,returned to lineup
40956,2019-03-05,Lakers,,Kyle Kuzma,sprained right ankle (DTD)
40957,2019-03-05,Magic,,Terrence Ross,placed on IL with left Achilles injury
40958,2019-03-05,Thunder,,Hamidou Diallo,placed on IL
40959,2019-03-05,Thunder,Paul George,,returned to lineup
40960,2019-03-05,Warriors,,Kevon Looney,placed on IL with pelvic injury
40961,2019-03-05,Warriors,,Klay Thompson,placed on IL with sore right knee
40962,2019-03-05,Warriors,,Shaun Livingston,neck spasms (DTD)
40963,2019-03-05,Pacers,Edmond Sumner,,activated from IL
40964,2019-03-05,Pacers,,Edmond Sumner,bruised left knee (DTD)
40965,2019-03-06,76ers,Jonah Bolden,,returned to lineup
40966,2019-03-06,Celtics,,Kyrie Irving,placed on IL with left thigh injury
40967,2019-03-06,Hawks,,Dewayne Dedmon,placed on IL with bruised right knee
40968,2019-03-06,Hawks,John Collins ,,activated from IL
40969,2019-03-06,Jazz,,Ekpe Udoh,back spasms (DTD)
40970,2019-03-06,Knicks,DeAndre Jordan,,activated from IL
40971,2019-03-06,Lakers,,Kyle Kuzma,placed on IL with sprained right ankle
40972,2019-03-06,Lakers,Lance Stephenson,,activated from IL
40973,2019-03-06,Mavericks,,Maxi Kleber,placed on IL with left knee injury
40974,2019-03-06,Mavericks,Kostas Antetokounmpo,,returned to lineup
40975,2019-03-06,Mavericks,Kostas Antetokounmpo,,activated from IL
40976,2019-03-06,Pelicans,Jahlil Okafor,,activated from IL
40977,2019-03-06,Pistons,,Jon Leuer,right knee injury (DTD)
40978,2019-03-06,Pistons,,Zaza Pachulia,placed on IL with right Achilles injury
40979,2019-03-06,Spurs,,Jakob Poeltl,placed on IL with left hamstring injury
40980,2019-03-07,Blazers,Gary Trent Jr.,,activated from IL
40981,2019-03-07,Bucks,Donte DiVincenzo,,activated from IL
40982,2019-03-07,Cavaliers,,Matthew Dellavedova,concussion (out for season)
40983,2019-03-07,Pelicans,,E'Twaun Moore,bruised left quadricep (out for season)
40984,2019-03-07,Pelicans,,Jrue Holiday,strained lower abdominal (out for season)
40985,2019-03-08,Cavaliers,,Matthew Dellavedova,placed on IL with concussion (out for season)
40986,2019-03-08,Cavaliers,Ante Zizic,,activated from IL
40987,2019-03-08,Cavaliers,Larry Nance Jr.,,activated from IL
40988,2019-03-08,Clippers,Wilson Chandler,,activated from IL
40989,2019-03-08,Heat,Goran Dragic,,activated from IL
40990,2019-03-08,Hornets,,Bismack Biyombo,placed on IL with sprained left knee
40991,2019-03-08,Jazz,,Ricky Rubio,placed on IL with hip injury
40992,2019-03-08,Jazz,Ekpe Udoh,,returned to lineup
40993,2019-03-08,Magic,,Isaiah Briscoe,right knee injury (DTD)
40994,2019-03-08,Magic,Terrence Ross,,activated from IL
40995,2019-03-08,Pelicans,,Anthony Davis,lower back spasms (DTD)
40996,2019-03-08,Pelicans,,Jrue Holiday,placed on IL with strained lower abdominal (out for season)
40997,2019-03-08,Rockets,Iman Shumpert,,returned to lineup
40998,2019-03-08,Warriors,Kevon Looney,,activated from IL
40999,2019-03-08,Warriors,Klay Thompson,,activated from IL
41000,2019-03-08,Warriors,Shaun Livingston,,returned to lineup
41001,2019-03-08,Pistons,Zaza Pachulia,,activated from IL
41002,2019-03-08,Pistons,,Zaza Pachulia,right Achilles injury (DTD)
41003,2019-03-09,Blazers,,Evan Turner,placed on IL with left knee injury
41004,2019-03-09,Blazers,,Gary Trent Jr.,placed on IL
41005,2019-03-09,Bucks,George Hill,,activated from IL
41006,2019-03-09,Celtics,Kyrie Irving,,activated from IL
41007,2019-03-09,Hawks,,Alex Poythress,placed on IL with sprained right ankle (out for season)
41008,2019-03-09,Hornets,, Tony Parker,placed on IL
41009,2019-03-09,Hornets,,Michael Kidd-Gilchrist,placed on IL with strained left knee
41010,2019-03-09,Hornets,Bismack Biyombo,,activated from IL
41011,2019-03-09,Knicks,,Noah Vonleh,bruised right hip (DTD)
41012,2019-03-09,Lakers,,Brandon Ingram,placed on IL with blood clot in right arm (out for season)
41013,2019-03-09,Lakers,,Lance Stephenson,sprained toe (DTD)
41014,2019-03-09,Timberwolves,,Andrew Wiggins,bruised left quadricep (DTD)
41015,2019-03-10,76ers,Joel Embiid,,activated from IL
41016,2019-03-10,Bulls,,Zach LaVine,right knee injury (DTD)
41017,2019-03-10,Cavaliers,,Larry Nance Jr.,rib injury (DTD)
41018,2019-03-10,Hawks,Dewayne Dedmon,,activated from IL
41019,2019-03-10,Knicks,Noah Vonleh,,returned to lineup
41020,2019-03-10,Magic,,Isaiah Briscoe,placed on IL with right knee injury
41021,2019-03-10,Mavericks,,Kostas Antetokounmpo,placed on IL
41022,2019-03-10,Mavericks,Maxi Kleber,,activated from IL
41023,2019-03-10,Pacers,,Tyreke Evans,placed on IL with illness
41024,2019-03-10,Pacers,Alize Johnson,,returned to lineup
41025,2019-03-10,Pacers,Domantas Sabonis,,activated from IL
41026,2019-03-10,Pelicans,,E'Twaun Moore,placed on IL with bruised left quadricep (out for season)
41027,2019-03-10,Pelicans,Anthony Davis,,returned to lineup
41028,2019-03-10,Pistons,,Bruce Brown,placed on IL with sprained right ankle
41029,2019-03-10,Pistons,Jon Leuer,,returned to lineup
41030,2019-03-10,Spurs,,Rudy Gay,placed on IL with illness
41031,2019-03-10,Spurs,Jakob Poeltl,,activated from IL
41032,2019-03-10,Timberwolves,,Andrew Wiggins,placed on IL with bruised left quadricep
41033,2019-03-10,Timberwolves,,Karl-Anthony Towns,placed on IL with right knee inflammation
41034,2019-03-11,Celtics,,Jayson Tatum,placed on IL with sore right shoulder
41035,2019-03-11,Hornets,,Cody Zeller,sore left knee (out for season)
41036,2019-03-11,Hornets,,Marvin Williams,placed on IL with illness
41037,2019-03-11,Hornets,,Nicolas Batum,right eye injury (DTD)
41038,2019-03-11,Jazz,Dante Exum,,activated from IL
41039,2019-03-11,Magic,,Isaiah Briscoe,surgery on right knee (out indefinitely)
41040,2019-03-11,Pistons,Bruce Brown,,activated from IL
41041,2019-03-11,Pistons,Zaza Pachulia,,returned to lineup
41042,2019-03-11,Rockets,,Isaiah Hartenstein,right Achilles injury (DTD)
41043,2019-03-11,Rockets,,Terrence Jones,placed on IL with illness
41044,2019-03-11,Rockets,Kenneth Faried,,returned to lineup
41045,2019-03-12,76ers,Boban Marjanovic,,activated from IL
41046,2019-03-12,Blazers,,Rodney Hood,placed on IL with right hip injury
41047,2019-03-12,Blazers,Evan Turner,,activated from IL
41048,2019-03-12,Blazers,Gary Trent Jr.,,activated from IL
41049,2019-03-12,Bulls,,Zach LaVine,placed on IL with right knee injury
41050,2019-03-12,Cavaliers,,Larry Nance Jr.,placed on IL with rib injury
41051,2019-03-12,Clippers,,Danilo Gallinari,sore left ankle (DTD)
41052,2019-03-12,Lakers,,Lance Stephenson,placed on IL with sprained toe
41053,2019-03-12,Lakers,Kyle Kuzma,,activated from IL
41054,2019-03-12,Nets,,DeMarre Carroll,hyperextended left knee (DTD)
41055,2019-03-12,Timberwolves,,Derrick Rose,sore right elbow (out for season)
41056,2019-03-12,Timberwolves,,Jeff Teague,placed on IL with left foot injury (out for season)
41057,2019-03-12,Timberwolves,Karl-Anthony Towns,,activated from IL
41058,2019-03-12,Warriors,,Kevin Durant,sprained right ankle (DTD)
41059,2019-03-12,76ers,Zhaire Smith,,activated from IL
41060,2019-03-13,Jazz,Raul Neto,,activated from IL
41061,2019-03-13,Jazz,Ricky Rubio,,activated from IL
41062,2019-03-13,Nets,,DeMarre Carroll,placed on IL with hyperextended left knee
41063,2019-03-13,Nets,,Shabazz Napier,right hamstring injury (DTD)
41064,2019-03-13,Pistons,Svi Mykhailiuk,,activated from IL
41065,2019-03-13,Rockets,Danuel House Jr.,,activated from IL
41066,2019-03-13,Rockets,Terrence Jones,,activated from IL
41067,2019-03-13,Thunder,,Markieff Morris,sore neck (DTD)
41068,2019-03-13,Thunder,Hamidou Diallo,,activated from IL
41069,2019-03-13,Warriors,,Kevin Durant,placed on IL with sprained right ankle
41070,2019-03-13,Wizards,,Sam Dekker,sore lower back (DTD)
41071,2019-03-14,Celtics,,Daniel Theis,placed on IL with illness
41072,2019-03-14,Celtics,,Terry Rozier,placed on IL with illness
41073,2019-03-14,Celtics,Jayson Tatum,,activated from IL
41074,2019-03-14,Jazz,,Thabo Sefolosha,left hamstring injury (DTD)
41075,2019-03-14,Kings,Marvin Bagley III,,activated from IL
41076,2019-03-14,Nuggets,,Torrey Craig,placed on IL with sprained left shoulder
41077,2019-03-14,Nuggets,Trey Lyles,,activated from IL
41078,2019-03-14,Raptors,,Kyle Lowry,placed on IL with sprained left ankle
41079,2019-03-14,Thunder,Markieff Morris,,returned to lineup
41080,2019-03-14,Timberwolves,,Derrick Rose,placed on IL with sore right elbow
41081,2019-03-14,Timberwolves,Andrew Wiggins,,activated from IL
41082,2019-03-15,76ers,,Zhaire Smith,placed on IL
41083,2019-03-15,Blazers,,Gary Trent Jr.,placed on IL
41084,2019-03-15,Blazers,,Moe Harkless,placed on IL with left knee injury
41085,2019-03-15,Blazers,Rodney Hood,,activated from IL
41086,2019-03-15,Bucks,,Donte DiVincenzo,heel injury (out for season)
41087,2019-03-15,Bucks,George Hill,,returned to lineup
41088,2019-03-15,Bulls,Zach LaVine,,activated from IL
41089,2019-03-15,Clippers,Danilo Gallinari,,returned to lineup
41090,2019-03-15,Hornets,,Cody Zeller,placed on IL with sore left knee (out for season)
41091,2019-03-15,Hornets,,Shelvin Mack,placed on IL
41092,2019-03-15,Hornets, Tony Parker,,activated from IL
41093,2019-03-15,Hornets,Marvin Williams,,activated from IL
41094,2019-03-15,Hornets,Michael Kidd-Gilchrist,,activated from IL
41095,2019-03-15,Hornets,Nicolas Batum,,returned to lineup
41096,2019-03-15,Jazz,,Dante Exum,right knee injury (out for season)
41097,2019-03-15,Knicks,,Dennis Smith Jr.,placed on IL with sore lower back
41098,2019-03-15,Knicks,,Mario Hezonja,placed on IL with bruised left leg
41099,2019-03-15,Knicks,Kadeem Allen,,activated from IL
41100,2019-03-15,Knicks,Mario Hezonja,,activated from IL
41101,2019-03-15,Lakers,,Josh Hart,right knee tendinitis (DTD)
41102,2019-03-15,Lakers,,LeBron James,placed on IL
41103,2019-03-15,Lakers,Lance Stephenson,,activated from IL
41104,2019-03-15,Nets,,Allen Crabbe,sore right knee (out for season)
41105,2019-03-15,Pistons,,Svi Mykhailiuk,placed on IL
41106,2019-03-15,Spurs,Rudy Gay,,activated from IL
41107,2019-03-15,Suns,,Tyler Johnson,sore right knee (DTD)
41108,2019-03-15,Wizards,Sam Dekker,,returned to lineup
41109,2019-03-16,Blazers,Moe Harkless,,activated from IL
41110,2019-03-16,Bucks,,Malcolm Brogdon,right foot injury (DTD)
41111,2019-03-16,Celtics,,Guerschon Yabusele,placed on IL with illness
41112,2019-03-16,Celtics,Daniel Theis,,activated from IL
41113,2019-03-16,Celtics,Terry Rozier,,activated from IL
41114,2019-03-16,Jazz,,Dante Exum,placed on IL with right knee injury (out for season)
41115,2019-03-16,Jazz,,Thabo Sefolosha,placed on IL with left hamstring injury
41116,2019-03-16,Mavericks,,Luka Doncic,placed on IL with bruised right knee
41117,2019-03-16,Mavericks,Kostas Antetokounmpo,,activated from IL
41118,2019-03-16,Nets,,,activated from IL
41119,2019-03-16,Nets,,Allen Crabbe,placed on IL with sore right knee (out for season)
41120,2019-03-16,Nets,,Shabazz Napier,placed on IL with right hamstring injury
41121,2019-03-16,Nets,Alan Williams,,activated from IL
41122,2019-03-16,Nets,DeMarre Carroll,,activated from IL
41123,2019-03-16,Nets,Treveon Graham,,activated from IL
41124,2019-03-16,Nuggets,Torrey Craig,,activated from IL
41125,2019-03-16,Pacers,Tyreke Evans,,activated from IL
41126,2019-03-16,Suns,,Richaun Holmes,strained right quadriceps (DTD)
41127,2019-03-16,Wizards,Jordan McRae,,activated from IL
41128,2019-03-17,Blazers,,C.J. McCollum,left knee injury (DTD)
41129,2019-03-17,Bucks,,Malcolm Brogdon,placed on IL with right foot injury
41130,2019-03-17,Heat,,Justise Winslow,placed on IL with bruised right thigh
41131,2019-03-17,Knicks,,Noah Vonleh,placed on IL with sprained right ankle (out for season)
41132,2019-03-17,Lakers,,Lance Stephenson,placed on IL with sprained toe
41133,2019-03-17,Lakers,Josh Hart,,returned to lineup
41134,2019-03-17,Lakers,LeBron James,,activated from IL
41135,2019-03-17,Nets,,Alan Williams,placed on IL
41136,2019-03-17,Nets,Shabazz Napier,,activated from IL
41137,2019-03-17,Raptors,Fred VanVleet,,activated from IL
41138,2019-03-17,Timberwolves,Derrick Rose,,activated from IL
41139,2019-03-18,Blazers,,C.J. McCollum,placed on IL with left knee injury
41140,2019-03-18,Blazers,Gary Trent Jr.,,activated from IL
41141,2019-03-18,Bulls,,Otto Porter Jr.,placed on IL with strained rotator cuff in right shoulder (out for season)
41142,2019-03-18,Cavaliers,,Kevin Love,bruised lower back (DTD)
41143,2019-03-18,Celtics,,Gordon Hayward,placed on IL with concussion
41144,2019-03-18,Celtics,Guerschon Yabusele,,activated from IL
41145,2019-03-18,Heat,,Rodney McGruder,placed on IL with sore left knee
41146,2019-03-18,Jazz,Thabo Sefolosha,,activated from IL
41147,2019-03-18,Mavericks,,Kostas Antetokounmpo,placed on IL
41148,2019-03-18,Mavericks,Luka Doncic,,activated from IL
41149,2019-03-18,Pistons,,Blake Griffin,placed on IL
41150,2019-03-18,Raptors,Kyle Lowry,,activated from IL
41151,2019-03-18,Suns,,Kelly Oubre Jr.,placed on IL with sprained left thumb (out for season)
41152,2019-03-18,Suns,,Richaun Holmes,placed on IL with strained right quadriceps
41153,2019-03-18,Thunder,,Nerlens Noel,bruised left quadricep (DTD)
41154,2019-03-18,Warriors,,Andre Iguodala,placed on IL with dental ailment
41155,2019-03-18,Warriors,,DeMarcus Cousins,placed on IL with sore right ankle
41156,2019-03-18,Warriors,Kevin Durant,,activated from IL
41157,2019-03-18,Celtics,,Robert Williams III,placed on IL with illness
41158,2019-03-19,Bucks,,Ersan Ilyasova,illness (DTD)
41159,2019-03-19,Bucks,,Giannis Antetokounmpo,sprained right ankle (DTD)
41160,2019-03-19,Bucks,,Pau Gasol,placed on IL with sore left ankle (out for season)
41161,2019-03-19,Bucks,Sterling Brown,,activated from IL
41162,2019-03-19,Grizzlies,,C.J. Miles,left foot injury (out for season)
41163,2019-03-19,Hornets,, Tony Parker,placed on IL
41164,2019-03-19,Hornets,Shelvin Mack,,activated from IL
41165,2019-03-19,Lakers,,LeBron James,placed on IL with left groin injury
41166,2019-03-19,Lakers,Tyson Chandler,,activated from IL
41167,2019-03-19,Nets,,Shabazz Napier,placed on IL with illness
41168,2019-03-19,Pacers,,Darren Collison,placed on IL with bruised right quadriceps
41169,2019-03-19,Timberwolves,,Derrick Rose,placed on IL with sore right elbow (out for season)
41170,2019-03-19,Warriors,Andre Iguodala,,activated from IL
41171,2019-03-20,Bucks,,George Hill,left groin injury (DTD)
41172,2019-03-20,Bucks,,Nikola Mirotic,placed on IL with fractured left thumb
41173,2019-03-20,Bucks,Ersan Ilyasova,,returned to lineup
41174,2019-03-20,Bulls,,Zach LaVine,bruised right thigh (out for season)
41175,2019-03-20,Cavaliers,Kevin Love,,returned to lineup
41176,2019-03-20,Cavaliers,Larry Nance Jr.,,returned to lineup
41177,2019-03-20,Cavaliers,Tristan Thompson,,activated from IL
41178,2019-03-20,Celtics,Robert Williams III,,activated from IL
41179,2019-03-20,Grizzlies,,Avery Bradley,right shin injury (DTD)
41180,2019-03-20,Grizzlies,,C.J. Miles,placed on IL with left foot injury (out for season)
41181,2019-03-20,Hornets,,Michael Kidd-Gilchrist,concussion (DTD)
41182,2019-03-20,Knicks,,Allonzo Trier,placed on IL with strained left calf (out for season)
41183,2019-03-20,Knicks,,Kadeem Allen,illness (DTD)
41184,2019-03-20,Mavericks,,Maxi Kleber,placed on IL with sprained left wrist
41185,2019-03-20,Mavericks,Kostas Antetokounmpo,,activated from IL
41186,2019-03-20,Raptors,,Kyle Lowry,placed on IL with sprained right ankle
41187,2019-03-20,Rockets,,Kenneth Faried,sore left knee (DTD)
41188,2019-03-20,Thunder,Nerlens Noel,,returned to lineup
41189,2019-03-20,Wizards,,Jordan McRae,placed on IL
41190,2019-03-21,Hornets, Tony Parker,,activated from IL
41191,2019-03-21,Mavericks,,Tim Hardaway Jr.,placed on IL with tibia injury (out for season)
41192,2019-03-21,Mavericks,Maxi Kleber,,activated from IL
41193,2019-03-21,Pistons,Blake Griffin,,activated from IL
41194,2019-03-21,Suns,,Tyler Johnson,placed on IL with sore right knee (out for season)
41195,2019-03-21,Suns,Richaun Holmes,,activated from IL
41196,2019-03-21,Timberwolves,,Taj Gibson,strained left calf (DTD)
41197,2019-03-21,Warriors,DeMarcus Cousins,,activated from IL
41198,2019-03-21,Wizards,,Trevor Ariza,strained left groin (DTD)
41199,2019-03-22,Bucks,George Hill,,returned to lineup
41200,2019-03-22,Bucks,Giannis Antetokounmpo,,returned to lineup
41201,2019-03-22,Bucks,Sterling Brown,,returned to lineup
41202,2019-03-22,Celtics,,Al Horford,sore left knee (DTD)
41203,2019-03-22,Celtics,,Aron Baynes,sprained left ankle (DTD)
